Date_id,Year,Quarter,Month,Day,Day_of_Week
14/06/2020,2020,2,6,14,Sunday
15/06/2020,2020,2,6,15,Monday
16/06/2020,2020,2,6,16,Tuesday
17/06/2020,2020,2,6,17,Wednesday
18/06/2020,2020,2,6,18,Thursday
19/06/2020,2020,2,6,19,Friday
20/06/2020,2020,2,6,20,Saturday
21/06/2020,2020,2,6,21,Sunday
22/06/2020,2020,2,6,22,Monday
23/06/2020,2020,2,6,23,Tuesday
24/06/2020,2020,2,6,24,Wednesday
25/06/2020,2020,2,6,25,Thursday
26/06/2020,2020,2,6,26,Friday
27/06/2020,2020,2,6,27,Saturday
28/06/2020,2020,2,6,28,Sunday
29/06/2020,2020,2,6,29,Monday
30/06/2020,2020,2,6,30,Tuesday
01/07/2020,2020,3,7,1,Wednesday
02/07/2020,2020,3,7,2,Thursday
03/07/2020,2020,3,7,3,Friday
04/07/2020,2020,3,7,4,Saturday
05/07/2020,2020,3,7,5,Sunday
06/07/2020,2020,3,7,6,Monday
07/07/2020,2020,3,7,7,Tuesday
08/07/2020,2020,3,7,8,Wednesday
09/07/2020,2020,3,7,9,Thursday
10/07/2020,2020,3,7,10,Friday
11/07/2020,2020,3,7,11,Saturday
12/07/2020,2020,3,7,12,Sunday
13/07/2020,2020,3,7,13,Monday
14/07/2020,2020,3,7,14,Tuesday
15/07/2020,2020,3,7,15,Wednesday
16/07/2020,2020,3,7,16,Thursday
17/07/2020,2020,3,7,17,Friday
18/07/2020,2020,3,7,18,Saturday
19/07/2020,2020,3,7,19,Sunday
20/07/2020,2020,3,7,20,Monday
21/07/2020,2020,3,7,21,Tuesday
22/07/2020,2020,3,7,22,Wednesday
23/07/2020,2020,3,7,23,Thursday
24/07/2020,2020,3,7,24,Friday
25/07/2020,2020,3,7,25,Saturday
26/07/2020,2020,3,7,26,Sunday
27/07/2020,2020,3,7,27,Monday
28/07/2020,2020,3,7,28,Tuesday
29/07/2020,2020,3,7,29,Wednesday
30/07/2020,2020,3,7,30,Thursday
31/07/2020,2020,3,7,31,Friday
01/08/2020,2020,3,8,1,Saturday
02/08/2020,2020,3,8,2,Sunday
03/08/2020,2020,3,8,3,Monday
04/08/2020,2020,3,8,4,Tuesday
05/08/2020,2020,3,8,5,Wednesday
06/08/2020,2020,3,8,6,Thursday
07/08/2020,2020,3,8,7,Friday
08/08/2020,2020,3,8,8,Saturday
09/08/2020,2020,3,8,9,Sunday
10/08/2020,2020,3,8,10,Monday
11/08/2020,2020,3,8,11,Tuesday
12/08/2020,2020,3,8,12,Wednesday
13/08/2020,2020,3,8,13,Thursday
14/08/2020,2020,3,8,14,Friday
15/08/2020,2020,3,8,15,Saturday
16/08/2020,2020,3,8,16,Sunday
17/08/2020,2020,3,8,17,Monday
18/08/2020,2020,3,8,18,Tuesday
19/08/2020,2020,3,8,19,Wednesday
20/08/2020,2020,3,8,20,Thursday
21/08/2020,2020,3,8,21,Friday
22/08/2020,2020,3,8,22,Saturday
23/08/2020,2020,3,8,23,Sunday
24/08/2020,2020,3,8,24,Monday
25/08/2020,2020,3,8,25,Tuesday
26/08/2020,2020,3,8,26,Wednesday
27/08/2020,2020,3,8,27,Thursday
28/08/2020,2020,3,8,28,Friday
29/08/2020,2020,3,8,29,Saturday
30/08/2020,2020,3,8,30,Sunday
31/08/2020,2020,3,8,31,Monday
01/09/2020,2020,3,9,1,Tuesday
02/09/2020,2020,3,9,2,Wednesday
03/09/2020,2020,3,9,3,Thursday
04/09/2020,2020,3,9,4,Friday
05/09/2020,2020,3,9,5,Saturday
06/09/2020,2020,3,9,6,Sunday
07/09/2020,2020,3,9,7,Monday
08/09/2020,2020,3,9,8,Tuesday
09/09/2020,2020,3,9,9,Wednesday
10/09/2020,2020,3,9,10,Thursday
11/09/2020,2020,3,9,11,Friday
12/09/2020,2020,3,9,12,Saturday
13/09/2020,2020,3,9,13,Sunday
14/09/2020,2020,3,9,14,Monday
15/09/2020,2020,3,9,15,Tuesday
16/09/2020,2020,3,9,16,Wednesday
17/09/2020,2020,3,9,17,Thursday
18/09/2020,2020,3,9,18,Friday
19/09/2020,2020,3,9,19,Saturday
20/09/2020,2020,3,9,20,Sunday
21/09/2020,2020,3,9,21,Monday
22/09/2020,2020,3,9,22,Tuesday
23/09/2020,2020,3,9,23,Wednesday
24/09/2020,2020,3,9,24,Thursday
25/09/2020,2020,3,9,25,Friday
26/09/2020,2020,3,9,26,Saturday
27/09/2020,2020,3,9,27,Sunday
28/09/2020,2020,3,9,28,Monday
29/09/2020,2020,3,9,29,Tuesday
30/09/2020,2020,3,9,30,Wednesday
01/10/2020,2020,4,10,1,Thursday
02/10/2020,2020,4,10,2,Friday
03/10/2020,2020,4,10,3,Saturday
04/10/2020,2020,4,10,4,Sunday
05/10/2020,2020,4,10,5,Monday
06/10/2020,2020,4,10,6,Tuesday
07/10/2020,2020,4,10,7,Wednesday
08/10/2020,2020,4,10,8,Thursday
09/10/2020,2020,4,10,9,Friday
10/10/2020,2020,4,10,10,Saturday
11/10/2020,2020,4,10,11,Sunday
12/10/2020,2020,4,10,12,Monday
13/10/2020,2020,4,10,13,Tuesday
14/10/2020,2020,4,10,14,Wednesday
15/10/2020,2020,4,10,15,Thursday
16/10/2020,2020,4,10,16,Friday
17/10/2020,2020,4,10,17,Saturday
18/10/2020,2020,4,10,18,Sunday
19/10/2020,2020,4,10,19,Monday
20/10/2020,2020,4,10,20,Tuesday
21/10/2020,2020,4,10,21,Wednesday
22/10/2020,2020,4,10,22,Thursday
23/10/2020,2020,4,10,23,Friday
24/10/2020,2020,4,10,24,Saturday
25/10/2020,2020,4,10,25,Sunday
26/10/2020,2020,4,10,26,Monday
27/10/2020,2020,4,10,27,Tuesday
28/10/2020,2020,4,10,28,Wednesday
29/10/2020,2020,4,10,29,Thursday
30/10/2020,2020,4,10,30,Friday
31/10/2020,2020,4,10,31,Saturday
01/11/2020,2020,4,11,1,Sunday
02/11/2020,2020,4,11,2,Monday
03/11/2020,2020,4,11,3,Tuesday
04/11/2020,2020,4,11,4,Wednesday
05/11/2020,2020,4,11,5,Thursday
06/11/2020,2020,4,11,6,Friday
07/11/2020,2020,4,11,7,Saturday
08/11/2020,2020,4,11,8,Sunday
09/11/2020,2020,4,11,9,Monday
10/11/2020,2020,4,11,10,Tuesday
11/11/2020,2020,4,11,11,Wednesday
12/11/2020,2020,4,11,12,Thursday
13/11/2020,2020,4,11,13,Friday
14/11/2020,2020,4,11,14,Saturday
15/11/2020,2020,4,11,15,Sunday
16/11/2020,2020,4,11,16,Monday
17/11/2020,2020,4,11,17,Tuesday
18/11/2020,2020,4,11,18,Wednesday
19/11/2020,2020,4,11,19,Thursday
20/11/2020,2020,4,11,20,Friday
21/11/2020,2020,4,11,21,Saturday
22/11/2020,2020,4,11,22,Sunday
23/11/2020,2020,4,11,23,Monday
24/11/2020,2020,4,11,24,Tuesday
25/11/2020,2020,4,11,25,Wednesday
26/11/2020,2020,4,11,26,Thursday
27/11/2020,2020,4,11,27,Friday
28/11/2020,2020,4,11,28,Saturday
29/11/2020,2020,4,11,29,Sunday
30/11/2020,2020,4,11,30,Monday
01/12/2020,2020,4,12,1,Tuesday
02/12/2020,2020,4,12,2,Wednesday
03/12/2020,2020,4,12,3,Thursday
04/12/2020,2020,4,12,4,Friday
05/12/2020,2020,4,12,5,Saturday
06/12/2020,2020,4,12,6,Sunday
07/12/2020,2020,4,12,7,Monday
08/12/2020,2020,4,12,8,Tuesday
09/12/2020,2020,4,12,9,Wednesday
10/12/2020,2020,4,12,10,Thursday
11/12/2020,2020,4,12,11,Friday
12/12/2020,2020,4,12,12,Saturday
13/12/2020,2020,4,12,13,Sunday
14/12/2020,2020,4,12,14,Monday
15/12/2020,2020,4,12,15,Tuesday
16/12/2020,2020,4,12,16,Wednesday
17/12/2020,2020,4,12,17,Thursday
18/12/2020,2020,4,12,18,Friday
19/12/2020,2020,4,12,19,Saturday
20/12/2020,2020,4,12,20,Sunday
21/12/2020,2020,4,12,21,Monday
22/12/2020,2020,4,12,22,Tuesday
23/12/2020,2020,4,12,23,Wednesday
24/12/2020,2020,4,12,24,Thursday
25/12/2020,2020,4,12,25,Friday
26/12/2020,2020,4,12,26,Saturday
27/12/2020,2020,4,12,27,Sunday
28/12/2020,2020,4,12,28,Monday
29/12/2020,2020,4,12,29,Tuesday
30/12/2020,2020,4,12,30,Wednesday
31/12/2020,2020,4,12,31,Thursday
01/01/2021,2021,1,1,1,Friday
02/01/2021,2021,1,1,2,Saturday
03/01/2021,2021,1,1,3,Sunday
04/01/2021,2021,1,1,4,Monday
05/01/2021,2021,1,1,5,Tuesday
06/01/2021,2021,1,1,6,Wednesday
07/01/2021,2021,1,1,7,Thursday
08/01/2021,2021,1,1,8,Friday
09/01/2021,2021,1,1,9,Saturday
10/01/2021,2021,1,1,10,Sunday
11/01/2021,2021,1,1,11,Monday
12/01/2021,2021,1,1,12,Tuesday
13/01/2021,2021,1,1,13,Wednesday
14/01/2021,2021,1,1,14,Thursday
15/01/2021,2021,1,1,15,Friday
16/01/2021,2021,1,1,16,Saturday
17/01/2021,2021,1,1,17,Sunday
18/01/2021,2021,1,1,18,Monday
19/01/2021,2021,1,1,19,Tuesday
20/01/2021,2021,1,1,20,Wednesday
21/01/2021,2021,1,1,21,Thursday
22/01/2021,2021,1,1,22,Friday
23/01/2021,2021,1,1,23,Saturday
24/01/2021,2021,1,1,24,Sunday
25/01/2021,2021,1,1,25,Monday
26/01/2021,2021,1,1,26,Tuesday
27/01/2021,2021,1,1,27,Wednesday
28/01/2021,2021,1,1,28,Thursday
29/01/2021,2021,1,1,29,Friday
30/01/2021,2021,1,1,30,Saturday
31/01/2021,2021,1,1,31,Sunday
01/02/2021,2021,1,2,1,Monday
02/02/2021,2021,1,2,2,Tuesday
03/02/2021,2021,1,2,3,Wednesday
04/02/2021,2021,1,2,4,Thursday
05/02/2021,2021,1,2,5,Friday
06/02/2021,2021,1,2,6,Saturday
07/02/2021,2021,1,2,7,Sunday
08/02/2021,2021,1,2,8,Monday
09/02/2021,2021,1,2,9,Tuesday
10/02/2021,2021,1,2,10,Wednesday
11/02/2021,2021,1,2,11,Thursday
12/02/2021,2021,1,2,12,Friday
13/02/2021,2021,1,2,13,Saturday
14/02/2021,2021,1,2,14,Sunday
15/02/2021,2021,1,2,15,Monday
16/02/2021,2021,1,2,16,Tuesday
17/02/2021,2021,1,2,17,Wednesday
18/02/2021,2021,1,2,18,Thursday
19/02/2021,2021,1,2,19,Friday
20/02/2021,2021,1,2,20,Saturday
21/02/2021,2021,1,2,21,Sunday
22/02/2021,2021,1,2,22,Monday
23/02/2021,2021,1,2,23,Tuesday
24/02/2021,2021,1,2,24,Wednesday
25/02/2021,2021,1,2,25,Thursday
26/02/2021,2021,1,2,26,Friday
27/02/2021,2021,1,2,27,Saturday
28/02/2021,2021,1,2,28,Sunday
01/03/2021,2021,1,3,1,Monday
02/03/2021,2021,1,3,2,Tuesday
03/03/2021,2021,1,3,3,Wednesday
04/03/2021,2021,1,3,4,Thursday
05/03/2021,2021,1,3,5,Friday
06/03/2021,2021,1,3,6,Saturday
07/03/2021,2021,1,3,7,Sunday
08/03/2021,2021,1,3,8,Monday
09/03/2021,2021,1,3,9,Tuesday
10/03/2021,2021,1,3,10,Wednesday
11/03/2021,2021,1,3,11,Thursday
12/03/2021,2021,1,3,12,Friday
13/03/2021,2021,1,3,13,Saturday
14/03/2021,2021,1,3,14,Sunday
15/03/2021,2021,1,3,15,Monday
16/03/2021,2021,1,3,16,Tuesday
17/03/2021,2021,1,3,17,Wednesday
18/03/2021,2021,1,3,18,Thursday
19/03/2021,2021,1,3,19,Friday
20/03/2021,2021,1,3,20,Saturday
21/03/2021,2021,1,3,21,Sunday
22/03/2021,2021,1,3,22,Monday
23/03/2021,2021,1,3,23,Tuesday
24/03/2021,2021,1,3,24,Wednesday
25/03/2021,2021,1,3,25,Thursday
26/03/2021,2021,1,3,26,Friday
27/03/2021,2021,1,3,27,Saturday
28/03/2021,2021,1,3,28,Sunday
29/03/2021,2021,1,3,29,Monday
30/03/2021,2021,1,3,30,Tuesday
31/03/2021,2021,1,3,31,Wednesday
01/04/2021,2021,2,4,1,Thursday
02/04/2021,2021,2,4,2,Friday
03/04/2021,2021,2,4,3,Saturday
04/04/2021,2021,2,4,4,Sunday
05/04/2021,2021,2,4,5,Monday
06/04/2021,2021,2,4,6,Tuesday
07/04/2021,2021,2,4,7,Wednesday
08/04/2021,2021,2,4,8,Thursday
09/04/2021,2021,2,4,9,Friday
10/04/2021,2021,2,4,10,Saturday
11/04/2021,2021,2,4,11,Sunday
12/04/2021,2021,2,4,12,Monday
13/04/2021,2021,2,4,13,Tuesday
14/04/2021,2021,2,4,14,Wednesday
15/04/2021,2021,2,4,15,Thursday
16/04/2021,2021,2,4,16,Friday
17/04/2021,2021,2,4,17,Saturday
18/04/2021,2021,2,4,18,Sunday
19/04/2021,2021,2,4,19,Monday
20/04/2021,2021,2,4,20,Tuesday
21/04/2021,2021,2,4,21,Wednesday
22/04/2021,2021,2,4,22,Thursday
23/04/2021,2021,2,4,23,Friday
24/04/2021,2021,2,4,24,Saturday
25/04/2021,2021,2,4,25,Sunday
26/04/2021,2021,2,4,26,Monday
27/04/2021,2021,2,4,27,Tuesday
28/04/2021,2021,2,4,28,Wednesday
29/04/2021,2021,2,4,29,Thursday
30/04/2021,2021,2,4,30,Friday
01/05/2021,2021,2,5,1,Saturday
02/05/2021,2021,2,5,2,Sunday
03/05/2021,2021,2,5,3,Monday
04/05/2021,2021,2,5,4,Tuesday
05/05/2021,2021,2,5,5,Wednesday
06/05/2021,2021,2,5,6,Thursday
07/05/2021,2021,2,5,7,Friday
08/05/2021,2021,2,5,8,Saturday
09/05/2021,2021,2,5,9,Sunday
10/05/2021,2021,2,5,10,Monday
11/05/2021,2021,2,5,11,Tuesday
12/05/2021,2021,2,5,12,Wednesday
13/05/2021,2021,2,5,13,Thursday
14/05/2021,2021,2,5,14,Friday
15/05/2021,2021,2,5,15,Saturday
16/05/2021,2021,2,5,16,Sunday
17/05/2021,2021,2,5,17,Monday
18/05/2021,2021,2,5,18,Tuesday
19/05/2021,2021,2,5,19,Wednesday
20/05/2021,2021,2,5,20,Thursday
21/05/2021,2021,2,5,21,Friday
22/05/2021,2021,2,5,22,Saturday
23/05/2021,2021,2,5,23,Sunday
24/05/2021,2021,2,5,24,Monday
25/05/2021,2021,2,5,25,Tuesday
26/05/2021,2021,2,5,26,Wednesday
27/05/2021,2021,2,5,27,Thursday
28/05/2021,2021,2,5,28,Friday
29/05/2021,2021,2,5,29,Saturday
30/05/2021,2021,2,5,30,Sunday
31/05/2021,2021,2,5,31,Monday
01/06/2021,2021,2,6,1,Tuesday
02/06/2021,2021,2,6,2,Wednesday
03/06/2021,2021,2,6,3,Thursday
04/06/2021,2021,2,6,4,Friday
05/06/2021,2021,2,6,5,Saturday
06/06/2021,2021,2,6,6,Sunday
07/06/2021,2021,2,6,7,Monday
08/06/2021,2021,2,6,8,Tuesday
09/06/2021,2021,2,6,9,Wednesday
10/06/2021,2021,2,6,10,Thursday
11/06/2021,2021,2,6,11,Friday
12/06/2021,2021,2,6,12,Saturday
13/06/2021,2021,2,6,13,Sunday
14/06/2021,2021,2,6,14,Monday
15/06/2021,2021,2,6,15,Tuesday
16/06/2021,2021,2,6,16,Wednesday
17/06/2021,2021,2,6,17,Thursday
18/06/2021,2021,2,6,18,Friday
19/06/2021,2021,2,6,19,Saturday
20/06/2021,2021,2,6,20,Sunday
21/06/2021,2021,2,6,21,Monday
22/06/2021,2021,2,6,22,Tuesday
23/06/2021,2021,2,6,23,Wednesday
24/06/2021,2021,2,6,24,Thursday
25/06/2021,2021,2,6,25,Friday
26/06/2021,2021,2,6,26,Saturday
27/06/2021,2021,2,6,27,Sunday
28/06/2021,2021,2,6,28,Monday
29/06/2021,2021,2,6,29,Tuesday
30/06/2021,2021,2,6,30,Wednesday
01/07/2021,2021,3,7,1,Thursday
02/07/2021,2021,3,7,2,Friday
03/07/2021,2021,3,7,3,Saturday
04/07/2021,2021,3,7,4,Sunday
05/07/2021,2021,3,7,5,Monday
06/07/2021,2021,3,7,6,Tuesday
07/07/2021,2021,3,7,7,Wednesday
08/07/2021,2021,3,7,8,Thursday
09/07/2021,2021,3,7,9,Friday
10/07/2021,2021,3,7,10,Saturday
11/07/2021,2021,3,7,11,Sunday
12/07/2021,2021,3,7,12,Monday
13/07/2021,2021,3,7,13,Tuesday
14/07/2021,2021,3,7,14,Wednesday
15/07/2021,2021,3,7,15,Thursday
16/07/2021,2021,3,7,16,Friday
17/07/2021,2021,3,7,17,Saturday
18/07/2021,2021,3,7,18,Sunday
19/07/2021,2021,3,7,19,Monday
20/07/2021,2021,3,7,20,Tuesday
21/07/2021,2021,3,7,21,Wednesday
22/07/2021,2021,3,7,22,Thursday
23/07/2021,2021,3,7,23,Friday
24/07/2021,2021,3,7,24,Saturday
25/07/2021,2021,3,7,25,Sunday
26/07/2021,2021,3,7,26,Monday
27/07/2021,2021,3,7,27,Tuesday
28/07/2021,2021,3,7,28,Wednesday
29/07/2021,2021,3,7,29,Thursday
30/07/2021,2021,3,7,30,Friday
31/07/2021,2021,3,7,31,Saturday
01/08/2021,2021,3,8,1,Sunday
02/08/2021,2021,3,8,2,Monday
03/08/2021,2021,3,8,3,Tuesday
04/08/2021,2021,3,8,4,Wednesday
05/08/2021,2021,3,8,5,Thursday
06/08/2021,2021,3,8,6,Friday
07/08/2021,2021,3,8,7,Saturday
08/08/2021,2021,3,8,8,Sunday
09/08/2021,2021,3,8,9,Monday
10/08/2021,2021,3,8,10,Tuesday
11/08/2021,2021,3,8,11,Wednesday
12/08/2021,2021,3,8,12,Thursday
13/08/2021,2021,3,8,13,Friday
14/08/2021,2021,3,8,14,Saturday
15/08/2021,2021,3,8,15,Sunday
16/08/2021,2021,3,8,16,Monday
17/08/2021,2021,3,8,17,Tuesday
18/08/2021,2021,3,8,18,Wednesday
19/08/2021,2021,3,8,19,Thursday
20/08/2021,2021,3,8,20,Friday
21/08/2021,2021,3,8,21,Saturday
22/08/2021,2021,3,8,22,Sunday
23/08/2021,2021,3,8,23,Monday
24/08/2021,2021,3,8,24,Tuesday
25/08/2021,2021,3,8,25,Wednesday
26/08/2021,2021,3,8,26,Thursday
27/08/2021,2021,3,8,27,Friday
28/08/2021,2021,3,8,28,Saturday
29/08/2021,2021,3,8,29,Sunday
30/08/2021,2021,3,8,30,Monday
31/08/2021,2021,3,8,31,Tuesday
01/09/2021,2021,3,9,1,Wednesday
02/09/2021,2021,3,9,2,Thursday
03/09/2021,2021,3,9,3,Friday
04/09/2021,2021,3,9,4,Saturday
05/09/2021,2021,3,9,5,Sunday
06/09/2021,2021,3,9,6,Monday
07/09/2021,2021,3,9,7,Tuesday
08/09/2021,2021,3,9,8,Wednesday
09/09/2021,2021,3,9,9,Thursday
10/09/2021,2021,3,9,10,Friday
11/09/2021,2021,3,9,11,Saturday
12/09/2021,2021,3,9,12,Sunday
13/09/2021,2021,3,9,13,Monday
14/09/2021,2021,3,9,14,Tuesday
15/09/2021,2021,3,9,15,Wednesday
16/09/2021,2021,3,9,16,Thursday
17/09/2021,2021,3,9,17,Friday
18/09/2021,2021,3,9,18,Saturday
19/09/2021,2021,3,9,19,Sunday
20/09/2021,2021,3,9,20,Monday
21/09/2021,2021,3,9,21,Tuesday
22/09/2021,2021,3,9,22,Wednesday
23/09/2021,2021,3,9,23,Thursday
24/09/2021,2021,3,9,24,Friday
25/09/2021,2021,3,9,25,Saturday
26/09/2021,2021,3,9,26,Sunday
27/09/2021,2021,3,9,27,Monday
28/09/2021,2021,3,9,28,Tuesday
29/09/2021,2021,3,9,29,Wednesday
30/09/2021,2021,3,9,30,Thursday
01/10/2021,2021,4,10,1,Friday
02/10/2021,2021,4,10,2,Saturday
03/10/2021,2021,4,10,3,Sunday
04/10/2021,2021,4,10,4,Monday
05/10/2021,2021,4,10,5,Tuesday
06/10/2021,2021,4,10,6,Wednesday
07/10/2021,2021,4,10,7,Thursday
08/10/2021,2021,4,10,8,Friday
09/10/2021,2021,4,10,9,Saturday
10/10/2021,2021,4,10,10,Sunday
11/10/2021,2021,4,10,11,Monday
12/10/2021,2021,4,10,12,Tuesday
13/10/2021,2021,4,10,13,Wednesday
14/10/2021,2021,4,10,14,Thursday
15/10/2021,2021,4,10,15,Friday
16/10/2021,2021,4,10,16,Saturday
17/10/2021,2021,4,10,17,Sunday
18/10/2021,2021,4,10,18,Monday
19/10/2021,2021,4,10,19,Tuesday
20/10/2021,2021,4,10,20,Wednesday
21/10/2021,2021,4,10,21,Thursday
22/10/2021,2021,4,10,22,Friday
23/10/2021,2021,4,10,23,Saturday
24/10/2021,2021,4,10,24,Sunday
25/10/2021,2021,4,10,25,Monday
26/10/2021,2021,4,10,26,Tuesday
27/10/2021,2021,4,10,27,Wednesday
28/10/2021,2021,4,10,28,Thursday
29/10/2021,2021,4,10,29,Friday
30/10/2021,2021,4,10,30,Saturday
31/10/2021,2021,4,10,31,Sunday
01/11/2021,2021,4,11,1,Monday
02/11/2021,2021,4,11,2,Tuesday
03/11/2021,2021,4,11,3,Wednesday
04/11/2021,2021,4,11,4,Thursday
05/11/2021,2021,4,11,5,Friday
06/11/2021,2021,4,11,6,Saturday
07/11/2021,2021,4,11,7,Sunday
08/11/2021,2021,4,11,8,Monday
09/11/2021,2021,4,11,9,Tuesday
10/11/2021,2021,4,11,10,Wednesday
11/11/2021,2021,4,11,11,Thursday
12/11/2021,2021,4,11,12,Friday
13/11/2021,2021,4,11,13,Saturday
14/11/2021,2021,4,11,14,Sunday
15/11/2021,2021,4,11,15,Monday
16/11/2021,2021,4,11,16,Tuesday
17/11/2021,2021,4,11,17,Wednesday
18/11/2021,2021,4,11,18,Thursday
19/11/2021,2021,4,11,19,Friday
20/11/2021,2021,4,11,20,Saturday
21/11/2021,2021,4,11,21,Sunday
22/11/2021,2021,4,11,22,Monday
23/11/2021,2021,4,11,23,Tuesday
24/11/2021,2021,4,11,24,Wednesday
25/11/2021,2021,4,11,25,Thursday
26/11/2021,2021,4,11,26,Friday
27/11/2021,2021,4,11,27,Saturday
28/11/2021,2021,4,11,28,Sunday
29/11/2021,2021,4,11,29,Monday
30/11/2021,2021,4,11,30,Tuesday
01/12/2021,2021,4,12,1,Wednesday
02/12/2021,2021,4,12,2,Thursday
03/12/2021,2021,4,12,3,Friday
04/12/2021,2021,4,12,4,Saturday
05/12/2021,2021,4,12,5,Sunday
06/12/2021,2021,4,12,6,Monday
07/12/2021,2021,4,12,7,Tuesday
08/12/2021,2021,4,12,8,Wednesday
09/12/2021,2021,4,12,9,Thursday
10/12/2021,2021,4,12,10,Friday
11/12/2021,2021,4,12,11,Saturday
12/12/2021,2021,4,12,12,Sunday
13/12/2021,2021,4,12,13,Monday
14/12/2021,2021,4,12,14,Tuesday
15/12/2021,2021,4,12,15,Wednesday
16/12/2021,2021,4,12,16,Thursday
17/12/2021,2021,4,12,17,Friday
18/12/2021,2021,4,12,18,Saturday
19/12/2021,2021,4,12,19,Sunday
20/12/2021,2021,4,12,20,Monday
21/12/2021,2021,4,12,21,Tuesday
22/12/2021,2021,4,12,22,Wednesday
23/12/2021,2021,4,12,23,Thursday
24/12/2021,2021,4,12,24,Friday
25/12/2021,2021,4,12,25,Saturday
26/12/2021,2021,4,12,26,Sunday
27/12/2021,2021,4,12,27,Monday
28/12/2021,2021,4,12,28,Tuesday
29/12/2021,2021,4,12,29,Wednesday
30/12/2021,2021,4,12,30,Thursday
31/12/2021,2021,4,12,31,Friday
01/01/2022,2022,1,1,1,Saturday
02/01/2022,2022,1,1,2,Sunday
03/01/2022,2022,1,1,3,Monday
04/01/2022,2022,1,1,4,Tuesday
05/01/2022,2022,1,1,5,Wednesday
06/01/2022,2022,1,1,6,Thursday
07/01/2022,2022,1,1,7,Friday
08/01/2022,2022,1,1,8,Saturday
09/01/2022,2022,1,1,9,Sunday
10/01/2022,2022,1,1,10,Monday
11/01/2022,2022,1,1,11,Tuesday
12/01/2022,2022,1,1,12,Wednesday
13/01/2022,2022,1,1,13,Thursday
14/01/2022,2022,1,1,14,Friday
15/01/2022,2022,1,1,15,Saturday
16/01/2022,2022,1,1,16,Sunday
17/01/2022,2022,1,1,17,Monday
18/01/2022,2022,1,1,18,Tuesday
19/01/2022,2022,1,1,19,Wednesday
20/01/2022,2022,1,1,20,Thursday
21/01/2022,2022,1,1,21,Friday
22/01/2022,2022,1,1,22,Saturday
23/01/2022,2022,1,1,23,Sunday
24/01/2022,2022,1,1,24,Monday
25/01/2022,2022,1,1,25,Tuesday
26/01/2022,2022,1,1,26,Wednesday
27/01/2022,2022,1,1,27,Thursday
28/01/2022,2022,1,1,28,Friday
29/01/2022,2022,1,1,29,Saturday
30/01/2022,2022,1,1,30,Sunday
31/01/2022,2022,1,1,31,Monday
01/02/2022,2022,1,2,1,Tuesday
02/02/2022,2022,1,2,2,Wednesday
03/02/2022,2022,1,2,3,Thursday
04/02/2022,2022,1,2,4,Friday
05/02/2022,2022,1,2,5,Saturday
06/02/2022,2022,1,2,6,Sunday
07/02/2022,2022,1,2,7,Monday
08/02/2022,2022,1,2,8,Tuesday
09/02/2022,2022,1,2,9,Wednesday
10/02/2022,2022,1,2,10,Thursday
11/02/2022,2022,1,2,11,Friday
12/02/2022,2022,1,2,12,Saturday
13/02/2022,2022,1,2,13,Sunday
14/02/2022,2022,1,2,14,Monday
15/02/2022,2022,1,2,15,Tuesday
16/02/2022,2022,1,2,16,Wednesday
17/02/2022,2022,1,2,17,Thursday
18/02/2022,2022,1,2,18,Friday
19/02/2022,2022,1,2,19,Saturday
20/02/2022,2022,1,2,20,Sunday
21/02/2022,2022,1,2,21,Monday
22/02/2022,2022,1,2,22,Tuesday
23/02/2022,2022,1,2,23,Wednesday
24/02/2022,2022,1,2,24,Thursday
25/02/2022,2022,1,2,25,Friday
26/02/2022,2022,1,2,26,Saturday
27/02/2022,2022,1,2,27,Sunday
28/02/2022,2022,1,2,28,Monday
01/03/2022,2022,1,3,1,Tuesday
02/03/2022,2022,1,3,2,Wednesday
03/03/2022,2022,1,3,3,Thursday
04/03/2022,2022,1,3,4,Friday
05/03/2022,2022,1,3,5,Saturday
06/03/2022,2022,1,3,6,Sunday
07/03/2022,2022,1,3,7,Monday
08/03/2022,2022,1,3,8,Tuesday
09/03/2022,2022,1,3,9,Wednesday
10/03/2022,2022,1,3,10,Thursday
11/03/2022,2022,1,3,11,Friday
12/03/2022,2022,1,3,12,Saturday
13/03/2022,2022,1,3,13,Sunday
14/03/2022,2022,1,3,14,Monday
15/03/2022,2022,1,3,15,Tuesday
16/03/2022,2022,1,3,16,Wednesday
17/03/2022,2022,1,3,17,Thursday
18/03/2022,2022,1,3,18,Friday
19/03/2022,2022,1,3,19,Saturday
20/03/2022,2022,1,3,20,Sunday
21/03/2022,2022,1,3,21,Monday
22/03/2022,2022,1,3,22,Tuesday
23/03/2022,2022,1,3,23,Wednesday
24/03/2022,2022,1,3,24,Thursday
25/03/2022,2022,1,3,25,Friday
26/03/2022,2022,1,3,26,Saturday
27/03/2022,2022,1,3,27,Sunday
28/03/2022,2022,1,3,28,Monday
29/03/2022,2022,1,3,29,Tuesday
30/03/2022,2022,1,3,30,Wednesday
31/03/2022,2022,1,3,31,Thursday
01/04/2022,2022,2,4,1,Friday
02/04/2022,2022,2,4,2,Saturday
03/04/2022,2022,2,4,3,Sunday
04/04/2022,2022,2,4,4,Monday
05/04/2022,2022,2,4,5,Tuesday
06/04/2022,2022,2,4,6,Wednesday
07/04/2022,2022,2,4,7,Thursday
08/04/2022,2022,2,4,8,Friday
09/04/2022,2022,2,4,9,Saturday
